Serial ,Date,User,Tweet
98,2022-07-22 11:45:27+00:00,flyingbeast320,"कावड़ यात्रा संपन्न ।Rode 12 hrs ,115 Kms on our bicycle. 
ॐ नमः शिवाय https://t.co/WlFd5xsZkd"
99,2022-07-21 12:12:47+00:00,flyingbeast320,"नमो नमो जी शंकरा
भोलेनाथ शंकरा 
Starting my कावड़ yatra https://t.co/Pmcz5Ze2yE"
100,2022-07-19 05:46:19+00:00,flyingbeast320,"ज़िंदगी में एक नया अध्याय शुरू करने जा रहे है । सभी देवताओं के आशीर्वाद हेतु एक अग्निहोत्र का आयोजन किया ।
#Swaaha https://t.co/GejLRyJiNG"
101,2022-07-14 16:48:36+00:00,flyingbeast320,बहुत अन्याय हुआ इस सज्जन के साथ https://t.co/kOWglJPTGg
102,2022-07-12 15:23:33+00:00,flyingbeast320,"Hi @zomato , want to plan a surprise for my wife’s birthday."
103,2022-07-11 05:07:58+00:00,flyingbeast320,"Thappad se darr nahi lagta sahab…
Biwi ki surprise planning se lagta hai..
#birthday"
104,2022-07-09 17:35:58+00:00,flyingbeast320,"Thank you everyone for your lovely wishes and the gifts. Blessed to have you all in our lives
#thankYou https://t.co/9iJYFb83ka"
105,2022-07-06 14:01:33+00:00,flyingbeast320,"@ARanganathan72 My labor court case is in the preliminary stage of maintainability, since 2 years. Last 3 dates adjourned.
1st - counsel busy in high court.
2nd- counsel citied personal reasons.
3rd- counsel asked for more time to place some old docs on record, which he forgot earlier."
106,2022-07-06 13:44:47+00:00,flyingbeast320,"First semester LLB result
PASS 😎"
107,2022-07-01 14:32:14+00:00,flyingbeast320,"Black day for Bharat !!
The highest Institution has justified an act of terror."
108,2022-07-01 05:47:04+00:00,flyingbeast320,"Jai Jagannath
 #RathYatra"
109,2022-06-28 17:54:55+00:00,flyingbeast320,https://t.co/HRIAkVXdPj
110,2022-06-28 02:31:24+00:00,flyingbeast320,"Padma Bhushan awardee Shri Nambi Narayan ji, is a hero who never got his dues.
We need to make more movies glorifying our hero’s to inspire the youth.
Thank you @ActorMadhavan ji for bringing this story.
#Rocketry https://t.co/nMAfdmgFOf"
111,2022-06-27 15:33:27+00:00,flyingbeast320,Disclaimer- just for fun
112,2022-06-27 15:33:07+00:00,flyingbeast320,Modi ji Savage… “Biden kadak nahi banata” https://t.co/WUdG3z4SSg
113,2022-06-27 15:30:29+00:00,flyingbeast320,"Biden- Modi ji, aaj chai humare saath please… aap hamesha mana kar dete hai…
Modi ji - bilkul Biden sahab.. https://t.co/HYC4ZC5acc"
